size,method,memory,filter_type,gene_id,memory_log,memory_log10,size_log,size_log10
1000,Seurat,115.19,Filter4,4859,4.74658293893842,2.06141477827707,6.90775527898214,3
1000,Seurat,115.18,Filter5,4859,4.74649612207853,2.06137707419389,6.90775527898214,3
1000,Seurat,115.21,Filter6,4859,4.74675655004996,2.06149017662482,6.90775527898214,3
1000,Seurat,114.89,Filter1,9225,4.74397514886527,2.06028222943835,6.90775527898214,3
1000,Seurat,114.99,Filter2,9225,4.74484516806057,2.06066007397401,6.90775527898214,3
1000,Seurat,115.09,Filter3,9225,4.7457144309804,2.06103759006342,6.90775527898214,3
1000,Seurat,115.19,Filter4,9225,4.74658293893842,2.06141477827707,6.90775527898214,3
1000,Seurat,115.18,Filter5,9225,4.74649612207853,2.06137707419389,6.90775527898214,3
1000,Seurat,115.21,Filter6,9225,4.74675655004996,2.06149017662482,6.90775527898214,3
1000,Seurat,125.51,Filter1,7891,4.83238543667235,2.09867832957644,6.90775527898214,3
1000,Seurat,125.03,Filter2,7891,4.82855370850691,2.09701423117803,6.90775527898214,3
1000,Seurat,115.09,Filter3,7891,4.7457144309804,2.06103759006342,6.90775527898214,3
1000,Seurat,115.19,Filter4,7891,4.74658293893842,2.06141477827707,6.90775527898214,3
1000,Seurat,115.18,Filter5,7891,4.74649612207853,2.06137707419389,6.90775527898214,3
1000,Seurat,115.21,Filter6,7891,4.74675655004996,2.06149017662482,6.90775527898214,3
1000,Seurat,118.75,Filter1,4373,4.77702044291475,2.0746336182969,6.90775527898214,3
1000,Seurat,118.85,Filter2,4373,4.7778621938062,2.0749991860642,6.90775527898214,3
1000,Seurat,115.09,Filter3,4373,4.7457144309804,2.06103759006342,6.90775527898214,3
1000,Seurat,115.19,Filter4,4373,4.74658293893842,2.06141477827707,6.90775527898214,3
1000,Seurat,115.18,Filter5,4373,4.74649612207853,2.06137707419389,6.90775527898214,3
1000,Seurat,115.21,Filter6,4373,4.74675655004996,2.06149017662482,6.90775527898214,3
1000,Seurat,119.21,Filter1,5874,4.78088664372991,2.07631268797686,6.90775527898214,3
1000,Seurat,119.31,Filter2,5874,4.78172514788771,2.07667684570564,6.90775527898214,3
1000,Seurat,115.09,Filter3,5874,4.7457144309804,2.06103759006342,6.90775527898214,3
1000,Seurat,115.19,Filter4,5874,4.74658293893842,2.06141477827707,6.90775527898214,3
1000,Seurat,115.18,Filter5,5874,4.74649612207853,2.06137707419389,6.90775527898214,3
1000,Seurat,115.21,Filter6,5874,4.74675655004996,2.06149017662482,6.90775527898214,3
1000,Seurat,114.89,Filter1,6744,4.74397514886527,2.06028222943835,6.90775527898214,3
1000,Seurat,114.99,Filter2,6744,4.74484516806057,2.06066007397401,6.90775527898214,3
1000,Seurat,115.09,Filter3,6744,4.7457144309804,2.06103759006342,6.90775527898214,3
1000,Seurat,115.19,Filter4,6744,4.74658293893842,2.06141477827707,6.90775527898214,3
1000,Seurat,115.18,Filter5,6744,4.74649612207853,2.06137707419389,6.90775527898214,3
1000,Seurat,115.21,Filter6,6744,4.74675655004996,2.06149017662482,6.90775527898214,3
1000,Seurat,114.89,Filter1,3468,4.74397514886527,2.06028222943835,6.90775527898214,3
1000,Seurat,114.99,Filter2,3468,4.74484516806057,2.06066007397401,6.90775527898214,3
1000,Seurat,115.09,Filter3,3468,4.7457144309804,2.06103759006342,6.90775527898214,3
1000,Seurat,115.19,Filter4,3468,4.74658293893842,2.06141477827707,6.90775527898214,3
1000,Seurat,115.18,Filter5,3468,4.74649612207853,2.06137707419389,6.90775527898214,3
1000,Seurat,115.21,Filter6,3468,4.74675655004996,2.06149017662482,6.90775527898214,3
1000,Seurat,114.89,Filter1,705,4.74397514886527,2.06028222943835,6.90775527898214,3
1000,Seurat,114.99,Filter2,705,4.74484516806057,2.06066007397401,6.90775527898214,3
1000,Seurat,115.09,Filter3,705,4.7457144309804,2.06103759006342,6.90775527898214,3
1000,Seurat,115.19,Filter4,705,4.74658293893842,2.06141477827707,6.90775527898214,3
1000,Seurat,115.18,Filter5,705,4.74649612207853,2.06137707419389,6.90775527898214,3
1000,Seurat,115.21,Filter6,705,4.74675655004996,2.06149017662482,6.90775527898214,3
1000,Seurat,137.36,Filter1,2599,4.92260521658922,2.13786028215286,6.90775527898214,3
1000,Seurat,133.79,Filter2,2599,4.89627140648553,2.12642365373734,6.90775527898214,3
1000,Seurat,115.09,Filter3,2599,4.7457144309804,2.06103759006342,6.90775527898214,3
1000,Seurat,115.19,Filter4,2599,4.74658293893842,2.06141477827707,6.90775527898214,3
1000,Seurat,115.18,Filter5,2599,4.74649612207853,2.06137707419389,6.90775527898214,3
1000,Seurat,115.21,Filter6,2599,4.74675655004996,2.06149017662482,6.90775527898214,3
1000,Seurat,122.4,Filter1,2222,4.80729437007823,2.08778141780954,6.90775527898214,3
1000,Seurat,121.81,Filter2,2222,4.80246245371187,2.08568294319462,6.90775527898214,3
1000,Seurat,115.09,Filter3,2222,4.7457144309804,2.06103759006342,6.90775527898214,3
1000,Seurat,115.19,Filter4,2222,4.74658293893842,2.06141477827707,6.90775527898214,3
1000,Seurat,115.18,Filter5,2222,4.74649612207853,2.06137707419389,6.90775527898214,3
1000,Seurat,115.21,Filter6,2222,4.74675655004996,2.06149017662482,6.90775527898214,3
1000,Seurat,120.36,Filter1,7768,4.79048725176184,2.08048217906804,6.90775527898214,3
1000,Seurat,120.46,Filter2,7768,4.79131774761558,2.08084285883456,6.90775527898214,3
1000,Seurat,115.09,Filter3,7768,4.7457144309804,2.06103759006342,6.90775527898214,3
1000,Seurat,115.19,Filter4,7768,4.74658293893842,2.06141477827707,6.90775527898214,3
1000,Seurat,115.18,Filter5,7768,4.74649612207853,2.06137707419389,6.90775527898214,3
1000,Seurat,115.21,Filter6,7768,4.74675655004996,2.06149017662482,6.90775527898214,3
1000,Seurat,126.31,Filter1,2897,4.83873920278588,2.10143773513885,6.90775527898214,3
1000,Seurat,125.03,Filter2,2897,4.82855370850691,2.09701423117803,6.90775527898214,3
1000,Seurat,115.09,Filter3,2897,4.7457144309804,2.06103759006342,6.90775527898214,3
1000,Seurat,115.19,Filter4,2897,4.74658293893842,2.06141477827707,6.90775527898214,3
1000,Seurat,115.18,Filter5,2897,4.74649612207853,2.06137707419389,6.90775527898214,3
1000,Seurat,115.21,Filter6,2897,4.74675655004996,2.06149017662482,6.90775527898214,3
1000,Seurat,125.16,Filter1,9893,4.82959291880068,2.09746555447416,6.90775527898214,3
